,level_0,level_1,stats,training_scheme,L,regression,model,training_scheme2,regression2,model2
0,SAM_6M_elastic_har_eq,CAM_6M_lightgbm_har,0.20278863830719157,SAM,6M,elastic,har_eq,CAM,lightgbm,har
1,SAM_6M_lightgbm_har_eq,CAM_6M_lightgbm_har,0.3172855983957019,SAM,6M,lightgbm,har_eq,CAM,lightgbm,har
2,SAM_6M_lightgbm_har,CAM_6M_lightgbm_har,0.32337935057948125,SAM,6M,lightgbm,har,CAM,lightgbm,har
3,SAM_6M_elastic_har_eq,CAM_6M_lightgbm_ar,0.2108664659434107,SAM,6M,elastic,har_eq,CAM,lightgbm,ar
4,SAM_6M_elastic_har,CAM_6M_lightgbm_ar,0.2051496825118305,SAM,6M,elastic,har,CAM,lightgbm,ar
5,SAM_6M_lightgbm_har_eq,CAM_6M_lightgbm_ar,0.3695264656628497,SAM,6M,lightgbm,har_eq,CAM,lightgbm,ar
6,SAM_6M_elastic_har,CAM_6M_lightgbm_har,0.1972034770297531,SAM,6M,elastic,har,CAM,lightgbm,har
7,SAM_6M_lasso_har_eq,CAM_6M_lightgbm_har,0.2253656169006968,SAM,6M,lasso,har_eq,CAM,lightgbm,har
8,SAM_6M_elastic_har,CAM_6M_lightgbm_har_eq,0.20036837693237597,SAM,6M,elastic,har,CAM,lightgbm,har_eq
9,SAM_6M_elastic_har_eq,CAM_6M_lightgbm_har_eq,0.20602895895765624,SAM,6M,elastic,har_eq,CAM,lightgbm,har_eq
10,SAM_6M_lasso_har_eq,CAM_6M_lightgbm_har_eq,0.22981293316341275,SAM,6M,lasso,har_eq,CAM,lightgbm,har_eq
11,SAM_6M_lasso_har,CAM_6M_lightgbm_ar,0.236798855804068,SAM,6M,lasso,har,CAM,lightgbm,ar
12,SAM_6M_lasso_har,CAM_6M_lightgbm_har,0.2239950572509472,SAM,6M,lasso,har,CAM,lightgbm,har
13,SAM_6M_lightgbm_har,CAM_6M_lightgbm_ar,0.3826228571896005,SAM,6M,lightgbm,har,CAM,lightgbm,ar
14,SAM_6M_lasso_har_eq,CAM_6M_lightgbm_ar,0.23729544039361994,SAM,6M,lasso,har_eq,CAM,lightgbm,ar
15,SAM_6M_lasso_har,CAM_6M_lightgbm_har_eq,0.22749044027478252,SAM,6M,lasso,har,CAM,lightgbm,har_eq
16,SAM_6M_lightgbm_har,CAM_6M_lightgbm_har_eq,0.35592553430148005,SAM,6M,lightgbm,har,CAM,lightgbm,har_eq
17,SAM_6M_lightgbm_har_eq,CAM_6M_lightgbm_har_eq,0.34396155161885356,SAM,6M,lightgbm,har_eq,CAM,lightgbm,har_eq
